feature,importance
exercise_time_of_day__soclhx_0600,0.003991651785051364
patient_health_questionnaire_9_trouble_falling_or_staying_asleep_or_sleeping_too_much__phq_0300,0.003957496579415055
sleep_affected_other_important_parts_of_life__isq_0900,0.0039272920975260564
multiple_awakenings__isq_0300,0.003899345665008519
functional_outcomes_of_sleep_difficulty_watching_a_movie__fosq_0700,0.003896014811851883
feeling_refreshed_after_nap__soclhx_0300,0.0038718104406837133
number_of_adults_aged_18_59_living_in_your_household__bthbts_0530,0.003774674667937497
how_much_does_your_sleep_bother_you__isq_0600,0.003733857240703026
how_sleepy_do_you_feel_during_the_day__isq_1300,0.0037248640375908983
how_you_are_going_to_cope_tomorrow_if_you_dont_sleep_well_tonight__tab_0400,0.003691012657885283
perform_activities_without_awareness_when_sleepy_number_of_times__slpy_0300,0.0036759967698972895
sleep_affected_work__isq_0700,0.003644023448095063
insomnia_severity_index_sleep_problem_intereferes_with_daily_functioning__isi_0700,0.0036273451286442794
things_that_have_happened_in_the_past_and_how_they_worked_out__tab_0900,0.0036238959308594484
alcohol_consumption_number_of_times__soclhx_0700,0.0036225463537495257
what_the_future_might_hold_and_what_you_should_do_for_things_to_work_out_well__tab_1000,0.0036191866206190127
epworth_sleepiness_scale_chance_of_dozing_while_lying_down_in_the_afternoon_when_circumstances_permit__ess_0500,0.0035708446906450963
your_body_feeling_hot_or_cold__tab_0600,0.003528302427524564
gastrointestinal_problem_or_surgery_self-reported__mdhx_6100,0.0035134672228991273
epworth_sleepiness_scale_chance_of_dozing_as_a_passenger_in_a_car_for_an_hour_without_a_break__ess_0400,0.0035055312612716294
difficulty_staying_asleep__isq_0200,0.003462781167690475
patient_health_questionnaire_9_trouble_concentrating__phq_0700,0.003457162272466523
epworth_sleepiness_scale_chance_of_dozing_while_sitting_inactive_in_a_public_place__ess_0300,0.003450861448268854
your_heart_beat_pounding_in_your_head__tab_0700,0.003450166153129554
insomnia_severity_index_how_noticeable_to_others_is_sleep_problem_impacting_quality_of_life__isi_0500,0.003437920715715758
functional_outcomes_of_sleep_effect_on_desire_for_intimacy_or_sex__fosq_1000,0.003335954172387216
easily_awakened_after_nap__soclhx_0400,0.0033340897473074695
sleep_made_you_fatigued__isq_1200,0.003299870316653975
unable_to_get_enough_air_through_nose_during_exercise_or_exertion__nose_0500,0.0032858471494738445
epworth_sleepiness_scale_chance_of_dozing_while_sitting_quietly_after_lunch_without_alcohol__ess_0700,0.0032825895257395142
alcohol_consumption_number_of_servings_per_day__soclhx_0730,0.003268311895691218
how_often_do_sensations_occur_present__rls_0700,0.0032354145110573993
horne-ostberg_morningness-eveningness_questionnaire_tiredness_during_first_half-hour_after_waking__cir_0300,0.0032238018085885126
sleep_affected_your_social_life__isq_0800,0.0031754524328332983
noises_you_can_hear_in_the_house_or_outside__tab_0500,0.0031414848345154628
bed_partner_or_roommate__bthbts_0100,0.003122907662557717
functional_outcomes_of_sleep_difficulty_operating_motor_vehicles_for_long_distances_(greater_than_100_miles)__fosq_0400,0.0030682846470033347
menopausal_status__mdhx_1300,0.003056409676249882
nasal_blockage_or_obstruction__nose_0200,0.003002341005942063
functional_outcomes_of_sleep_difficulty_being_active_in_morning__fosq_0900,0.0029979672754581617
functional_outcomes_of_sleep_difficulty_operating_motor_vehicles_for_short_distances_(less_than_100_miles)__fosq_0300,0.002976424386289853
sleep_caused_trouble_concentrating__isq_1100,0.0028665404546938745
generalized_anxiety_disorder-7_questionnaire_not_being_able_to_stop_or_control_worrying__gad_0200,0.002790547699297804
hypnogogic_hallucinations_number_of_times__map_1110,0.0027857069634175755
generalized_anxiety_disorder-7_questionnaire_feeling_nervous_anxious_or_on_edge__gad_0100,0.0027814616911173784
functional_outcomes_of_sleep_difficulty_remembering__fosq_0200,0.002773007879099933
patient_health_questionnaire_9_poor_appetite_or_overeating__phq_0500,0.0027670385537472593
generalized_anxiety_disorder-7_questionnaire_trouble_relaxing__gad_0400,0.0027533731554482623
functional_outcomes_of_sleep_difficulty_concentrating__fosq_0100,0.002737484601481054
functional_outcomes_of_sleep_difficulty_being_active_in_evening__fosq_0800,0.0027320573727485325
unpleasant_feelings_in_legs_age_of_the_first_episode_(present_and_past)__rls_0800,0.002723320260132231
patient_health_questionnaire_9_feeling_tired_or_having_little_energy__phq_0400,0.0027170635932552123
number_of_children_aged_5_years_or_younger_living_in_your_household__bthbts_0510,0.0027134078895911973
dental_problems_self-reported__mdhx_6000,0.002635228596771319
restless_legs_syndrome_(rls)_current_severity__rls_severity,0.002619655162747474
functional_outcomes_of_sleep_difficulty_visiting_family_or_friends_in_their_home__fosq_0500,0.0026177891839643456
unpleasant_feelings_in_legs__rls_0100,0.002616549389655199
had_an_accident_or_near_miss_due_to_sleepiness_number_of_event__slpy_0400,0.002610920297845877
number_of_adults_aged_60_years_of_older_living_in_your_household__bthbts_0540,0.0025927730736371645
hypnagogic_hallucinations_(hh)_frequency_score__narc_2000,0.0025896755018339625
generalized_anxiety_disorder-7_questionnaire_becoming_easily_annoyed_or_irritable__gad_0600,0.002583666856198083
generalized_anxiety_disorder-7_questionnaire_being_so_restless_that_it_is_hard_to_sit_still__gad_0500,0.0025422654008702417
previously_been_to_a_sleep_specialist__mdhx_0200,0.0025187364562149874
